266,200,0.49997,0.99248,n,e
333,250,0.43000,0.69730,n,n
354,266,0.43748,0.74670,n,n
400,300,0.40889,0.60000,n,n
444,333,0.43748,0.74548,n,n
466,350,0.43367,0.71306,n,n
533,400,0.25000,0.49531,n,e
600,450,0.36016,0.58519,n,n
621,466,0.37500,0.66254,n,n
666,500,0.29999,0.46426,n,n
710,533,0.30553,0.54718,n,n
733,550,0.30441,0.51383,n,n
800,600,0.16000,0.20000,n,e
866,650,0.26529,0.48481,n,n
888,666,0.27072,0.49071,n,n
933,700,0.26871,0.42582,n,n
977,733,0.23437,0.43526,n,n
1000,750,0.23371,0.39200,n,n
1066,800,0.12500,0.24765,n,e
1133,849,0.21250,0.39770,n,n
1154,866,0.21250,0.39722,n,n
1200,900,0.21092,0.28889,n,n
1244,933,0.21250,0.39678,n,n
1266,950,0.21226,0.36676,n,n
1333,1000,0.10000,0.19805,n,e
1400,1050,0.17160,0.28980,n,n
1421,1066,0.17499,0.33079,n,n
1466,1100,0.17438,0.27198,n,n
1510,1133,0.17499,0.33164,n,n
1533,1150,0.17486,0.30287,n,n
1600,1200,0.00000,0.00000,e,e
320,240,0.22222,0.33333,e,n
400,300,0.40889,0.60000,n,n
426,320,0.43750,0.68603,n,n
480,360,0.41427,0.62963,n,n
533,400,0.25000,0.49531,n,e
560,420,0.36818,0.59184,n,n
640,480,0.16667,0.25000,e,n
720,540,0.28837,0.45267,n,n
746,560,0.30272,0.52126,n,n
800,600,0.16000,0.20000,n,e
853,640,0.27083,0.45611,n,n
880,660,0.26953,0.44904,n,n
960,720,0.12346,0.22222,e,n
1040,780,0.22848,0.40828,n,n
1066,800,0.12500,0.24765,n,e
1120,840,0.21001,0.30612,n,n
1173,880,0.21178,0.38479,n,n
1200,900,0.21092,0.28889,n,n
1280,960,0.09722,0.16667,e,n
1360,1020,0.17188,0.30565,n,n
1386,1040,0.17455,0.32234,n,n
1440,1080,0.17294,0.24280,n,n
1493,1120,0.17347,0.31279,n,n
1520,1140,0.17454,0.29086,n,n
1600,1200,0.00000,0.00000,e,e
1024,768,0.23438,0.38216,n,n
1440,1080,0.17294,0.24280,n,n
